Camera model, n
NIKON D7000,5804
NIKON D3200,4259
NIKON D90,2276
Canon EOS 5D,777
NIKON D70s,770
NIKON D200,688
Canon EOS DIGITAL REBEL XSi,627
NIKON D700,590
NIKON D70,540
Canon EOS 20D,365
Canon EOS 40D,314
Canon EOS-1D Mark II,244
NIKON D80,145
Canon EOS 6D,133
Canon EOS 30D,115
Canon EOS 10D,111
Canon EOS DIGITAL REBEL,104
DSLR-A900,92
Canon EOS 5D Mark II,87
D-LUX 3,84
NIKON D100,83
Canon EOS-1Ds Mark II,79
NIKON D40,76
Canon EOS DIGITAL REBEL XTi,72
M8 Digital Camera,64
Canon PowerShot G9,57
Canon PowerShot G10,55
FinePixS2Pro,41
Canon EOS D60,35
NIKON D300,34
NIKON D40X,30
DCS460D         FILE VERSION 3,28
NIKON D2H,20
Canon PowerShot S70,17
Canon EOS DIGITAL REBEL XT,15
Canon EOS-1D Mark III,15
Canon EOS-1D Mark II N,9
Canon EOS D30,6
E990,3
FinePix F700,1
